num_reviews,price,Rating
15,9.99,4.5
1,400.23,5.0
15,1029.0,5.0
72,400.23,4.5
74,19.9,5.0
4,59.0,5.0
583,349.0,4.5
9,500.0,5.0
1,3.35,5.0
48,23.1,4.5
279,16.2,5.0
157,349.0,5.0
27,1.79,4.5
119,71.5,4.5
63,7.77,5.0
108,135.98,5.0
3,500.0,5.0
12,3.05,4.5
2,252.22,5.0
1,9.99,4.5
14,135.98,5.0
186,157.98,5.0
7,98.17,4.5
3,19.9,4.5
127,432.82,5.0
